neighbourhood_group,neighbourhood,room_type,price,availability_365
Brooklyn,Greenpoint,Entire home_apt,200,0
Manhattan,Upper West Side,Entire home_apt,129,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,133,87
Brooklyn,Bushwick,Private room,44,0
Manhattan,East Village,Entire home_apt,142,0
Manhattan,Harlem,Private room,55,11
Queens,Astoria,Entire home_apt,185,15
Queens,Long Island City,Private room,110,0
Manhattan,Murray Hill,Entire home_apt,175,364
Manhattan,Murray Hill,Entire home_apt,222,364
Manhattan,Murray Hill,Entire home_apt,175,344
Manhattan,Murray Hill,Entire home_apt,175,364
Brooklyn,Williamsburg,Entire home_apt,115,0
Brooklyn,Williamsburg,Private room,180,0
Manhattan,Chinatown,Private room,80,0
Manhattan,Washington Heights,Entire home_apt,125,323
Brooklyn,Bedford-Stuyvesant,Entire home_apt,125,0
Brooklyn,Crown Heights,Entire home_apt,475,123
Brooklyn,Bedford-Stuyvesant,Private room,750,89
Queens,Astoria,Entire home_apt,86,0
Brooklyn,Crown Heights,Private room,75,35
Manhattan,Upper East Side,Entire home_apt,153,365
Manhattan,Chelsea,Entire home_apt,165,2
Queens,Ridgewood,Private room,55,75
Queens,Jamaica,Private room,50,155
Manhattan,Harlem,Private room,45,261
Queens,Far Rockaway,Private room,35,0
Queens,Ridgewood,Private room,90,157
Manhattan,Chelsea,Private room,149,274
Manhattan,Chelsea,Entire home_apt,175,101
Queens,Ridgewood,Entire home_apt,90,0
Manhattan,Harlem,Entire home_apt,108,213
Brooklyn,Williamsburg,Private room,78,0
Manhattan,Morningside Heights,Private room,50,0
Brooklyn,Bushwick,Entire home_apt,250,0
Manhattan,Lower East Side,Entire home_apt,95,0
Manhattan,Lower East Side,Private room,85,0
Brooklyn,Crown Heights,Private room,100,37
Queens,Sunnyside,Private room,60,179
Manhattan,Midtown,Entire home_apt,160,0
Brooklyn,Bedford-Stuyvesant,Private room,68,0
Manhattan,Roosevelt Island,Private room,85,195
Brooklyn,Williamsburg,Entire home_apt,198,298
Brooklyn,Williamsburg,Entire home_apt,290,0
Queens,Ridgewood,Private room,48,0
Manhattan,Washington Heights,Shared room,60,0
Brooklyn,Crown Heights,Private room,75,35
Manhattan,Chelsea,Entire home_apt,250,0
Manhattan,Harlem,Private room,50,188
Brooklyn,Crown Heights,Private room,90,0
Manhattan,Hell's Kitchen,Private room,155,304
Manhattan,Greenwich Village,Entire home_apt,220,0
Manhattan,NoHo,Entire home_apt,250,89
Manhattan,Upper East Side,Entire home_apt,378,52
Brooklyn,Bushwick,Entire home_apt,325,0
Brooklyn,Bedford-Stuyvesant,Private room,35,0
Queens,Flushing,Private room,45,57
Manhattan,Harlem,Entire home_apt,96,32
Brooklyn,Williamsburg,Private room,78,73
Manhattan,East Village,Private room,110,93
Brooklyn,Bedford-Stuyvesant,Private room,37,0
Queens,Jamaica,Private room,135,365
Brooklyn,Kensington,Private room,45,42
Manhattan,Lower East Side,Private room,60,0
Manhattan,East Harlem,Entire home_apt,125,0
Queens,Astoria,Private room,95,177
Brooklyn,Bedford-Stuyvesant,Entire home_apt,5000,0
Brooklyn,Cobble Hill,Entire home_apt,115,0
Manhattan,Gramercy,Entire home_apt,250,0
Brooklyn,Fort Greene,Private room,179,0
Manhattan,Harlem,Entire home_apt,99,18
Brooklyn,Midwood,Private room,65,364
Manhattan,Harlem,Private room,125,0
Brooklyn,Williamsburg,Private room,75,161
Manhattan,Upper East Side,Entire home_apt,125,2
Manhattan,West Village,Entire home_apt,295,365
Manhattan,East Village,Entire home_apt,200,0
Manhattan,Greenwich Village,Private room,200,0
Brooklyn,Bushwick,Private room,60,0
Queens,Jamaica,Private room,135,365
Queens,Jamaica,Private room,135,365
Manhattan,Hell's Kitchen,Private room,100,45
Brooklyn,Gowanus,Entire home_apt,250,174
Queens,Long Island City,Private room,125,128
Brooklyn,Bedford-Stuyvesant,Private room,38,0
Brooklyn,Clinton Hill,Entire home_apt,220,77
Manhattan,Upper East Side,Private room,100,0
Brooklyn,Park Slope,Entire home_apt,150,0
Brooklyn,Clinton Hill,Private room,58,0
Manhattan,Hell's Kitchen,Private room,160,162
Brooklyn,Bushwick,Entire home_apt,130,0
Manhattan,Upper East Side,Entire home_apt,200,0
Bronx,Belmont,Private room,35,357
Manhattan,East Harlem,Private room,45,347
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,235,121
Manhattan,Upper West Side,Private room,150,197
Brooklyn,Bushwick,Shared room,35,312
Brooklyn,Bushwick,Private room,40,8
Manhattan,Hell's Kitchen,Entire home_apt,525,292
Queens,Elmhurst,Entire home_apt,85,0
Manhattan,Upper West Side,Entire home_apt,253,0
Manhattan,Upper East Side,Entire home_apt,275,0
Manhattan,Chelsea,Private room,110,0
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,73,32
Manhattan,Morningside Heights,Entire home_apt,573,0
Queens,Ditmars Steinway,Private room,80,0
Manhattan,Upper East Side,Entire home_apt,170,33
Queens,Ridgewood,Entire home_apt,135,325
Manhattan,Gramercy,Entire home_apt,1100,333
Manhattan,East Harlem,Entire home_apt,120,341
Brooklyn,Williamsburg,Entire home_apt,195,0
Staten Island,Lighthouse Hill,Entire home_apt,115,71
Brooklyn,Bedford-Stuyvesant,Private room,70,0
Manhattan,Gramercy,Entire home_apt,766,352
Manhattan,Harlem,Entire home_apt,200,0
Brooklyn,Red Hook,Entire home_apt,150,0
Manhattan,Upper West Side,Private room,125,54
Queens,Ridgewood,Entire home_apt,75,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,95,0
Manhattan,Midtown,Private room,140,148
Manhattan,Harlem,Entire home_apt,83,86
Manhattan,Midtown,Private room,135,103
Manhattan,Midtown,Private room,231,165
Brooklyn,Bushwick,Private room,95,89
Brooklyn,Bushwick,Entire home_apt,84,6
Queens,Maspeth,Entire home_apt,89,143
Brooklyn,Bedford-Stuyvesant,Private room,55,146
Manhattan,Upper East Side,Entire home_apt,155,7
Bronx,Morris Heights,Private room,77,5
Brooklyn,Greenpoint,Private room,52,9
Manhattan,Washington Heights,Entire home_apt,95,0
Manhattan,Greenwich Village,Entire home_apt,250,43
Brooklyn,Williamsburg,Shared room,45,0
Manhattan,Harlem,Private room,75,182
Brooklyn,Bushwick,Entire home_apt,100,0
Queens,Maspeth,Entire home_apt,100,154
Brooklyn,Gowanus,Entire home_apt,130,46
Manhattan,Upper East Side,Entire home_apt,840,24
Manhattan,Financial District,Private room,250,365
Manhattan,Nolita,Entire home_apt,250,0
Manhattan,Battery Park City,Entire home_apt,300,0
Manhattan,Murray Hill,Entire home_apt,100,2
Manhattan,SoHo,Entire home_apt,200,0
Brooklyn,Sunset Park,Entire home_apt,120,90
Queens,Bellerose,Private room,55,359
Manhattan,Harlem,Private room,160,236
Brooklyn,Crown Heights,Private room,85,0
Brooklyn,Greenpoint,Entire home_apt,100,24
Brooklyn,East New York,Entire home_apt,85,151
Queens,Flushing,Private room,40,314
Brooklyn,East Flatbush,Entire home_apt,150,44
Manhattan,Harlem,Entire home_apt,230,0
Brooklyn,Flatbush,Private room,40,71
Manhattan,Greenwich Village,Entire home_apt,130,7
Queens,Rego Park,Private room,50,0
Brooklyn,Prospect Heights,Entire home_apt,75,0
Queens,Ridgewood,Private room,43,119
Queens,Ditmars Steinway,Private room,40,363
Queens,Woodside,Entire home_apt,255,285
Brooklyn,East Flatbush,Private room,38,199
Manhattan,East Village,Private room,105,0
Brooklyn,Bedford-Stuyvesant,Private room,130,64
Brooklyn,Williamsburg,Entire home_apt,350,284
Queens,Jamaica,Private room,35,52
Manhattan,East Village,Private room,120,17
Queens,Jamaica,Private room,68,13
Manhattan,Harlem,Private room,55,0
Brooklyn,Bushwick,Private room,49,0
Brooklyn,Bushwick,Shared room,0,333
Brooklyn,Williamsburg,Private room,55,30
Brooklyn,Crown Heights,Entire home_apt,298,265
Brooklyn,Bushwick,Shared room,29,324
Brooklyn,Bushwick,Private room,50,0
Queens,Astoria,Private room,40,0
Manhattan,Lower East Side,Private room,150,76
Queens,Long Island City,Entire home_apt,298,187
Manhattan,Upper West Side,Entire home_apt,175,0
Brooklyn,Bedford-Stuyvesant,Private room,60,49
Manhattan,Upper West Side,Entire home_apt,250,0
Brooklyn,East Flatbush,Private room,43,312
Brooklyn,Bedford-Stuyvesant,Entire home_apt,265,144
Brooklyn,Crown Heights,Private room,60,126
Brooklyn,Williamsburg,Entire home_apt,400,0
Queens,Astoria,Private room,180,83
Brooklyn,Fort Greene,Entire home_apt,235,0
Brooklyn,East New York,Private room,52,89
Manhattan,Upper West Side,Entire home_apt,250,3
Queens,Long Island City,Entire home_apt,130,0
Manhattan,Hell's Kitchen,Private room,150,60
Queens,Jamaica,Private room,50,108
Brooklyn,Canarsie,Entire home_apt,160,191
Brooklyn,Williamsburg,Entire home_apt,300,347
Manhattan,East Harlem,Private room,70,80
Brooklyn,Bushwick,Shared room,0,139
Queens,Cambria Heights,Private room,130,0
Queens,Cambria Heights,Private room,120,0
Manhattan,Hell's Kitchen,Entire home_apt,200,200
Brooklyn,Williamsburg,Private room,80,0
Manhattan,Chelsea,Entire home_apt,170,307
Brooklyn,Canarsie,Private room,80,364
Queens,Rosedale,Entire home_apt,65,65
Brooklyn,Crown Heights,Private room,60,0
Brooklyn,East Flatbush,Entire home_apt,400,329
Manhattan,East Village,Private room,100,25
Manhattan,Lower East Side,Shared room,68,0
Brooklyn,Crown Heights,Entire home_apt,120,276
Manhattan,Theater District,Private room,80,137
Manhattan,Kips Bay,Private room,100,0
Brooklyn,Canarsie,Private room,80,364
Brooklyn,Bedford-Stuyvesant,Entire home_apt,92,35
Brooklyn,Bedford-Stuyvesant,Entire home_apt,95,87
Brooklyn,Bedford-Stuyvesant,Entire home_apt,185,363
Brooklyn,Williamsburg,Entire home_apt,200,268
Manhattan,Upper West Side,Entire home_apt,300,99
Manhattan,Hell's Kitchen,Entire home_apt,99,251
Queens,Ridgewood,Private room,50,178
Queens,Jamaica,Private room,135,365
Manhattan,Hell's Kitchen,Entire home_apt,115,341
Queens,Jamaica,Private room,135,365
Queens,Jamaica,Private room,135,365
Queens,Jamaica,Private room,135,365
Queens,Briarwood,Private room,135,355
Queens,Briarwood,Private room,135,355
Queens,Jamaica,Private room,165,362
Queens,Jamaica,Private room,165,360
Queens,Jamaica,Private room,165,362
Queens,Jamaica,Private room,165,355
Queens,Briarwood,Private room,165,355
Queens,Briarwood,Private room,135,319
Queens,Briarwood,Private room,135,309
Queens,Ditmars Steinway,Private room,50,145
Brooklyn,Brighton Beach,Private room,40,342
Manhattan,Gramercy,Entire home_apt,540,215
Manhattan,Lower East Side,Private room,85,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,130,91
Manhattan,Upper West Side,Entire home_apt,150,0
Manhattan,East Village,Private room,90,0
Manhattan,East Village,Private room,121,0
Bronx,Belmont,Private room,29,322
Queens,Long Island City,Shared room,40,90
Manhattan,Hell's Kitchen,Private room,79,0
Queens,Long Island City,Entire home_apt,115,0
Manhattan,East Village,Entire home_apt,250,0
Bronx,Kingsbridge,Entire home_apt,149,146
Brooklyn,Williamsburg,Private room,50,0
Brooklyn,Crown Heights,Entire home_apt,85,99
Manhattan,Midtown,Private room,180,0
Brooklyn,Flatbush,Entire home_apt,100,0
Brooklyn,Cobble Hill,Entire home_apt,200,36
Manhattan,Harlem,Entire home_apt,200,101
Brooklyn,Downtown Brooklyn,Private room,119,0
Queens,Ditmars Steinway,Entire home_apt,70,113
Queens,Ridgewood,Private room,55,171
Queens,St. Albans,Entire home_apt,250,204
Manhattan,Kips Bay,Private room,75,0
Queens,Flushing,Private room,40,66
Manhattan,Washington Heights,Private room,50,0
Queens,Corona,Shared room,37,361
Brooklyn,Williamsburg,Private room,90,310
Brooklyn,Bushwick,Entire home_apt,150,59
Brooklyn,Williamsburg,Entire home_apt,140,214
Queens,Long Island City,Shared room,48,90
Queens,Forest Hills,Entire home_apt,80,0
Manhattan,Greenwich Village,Private room,125,63
Manhattan,Chinatown,Entire home_apt,188,364
Queens,Long Island City,Private room,130,34
Manhattan,East Harlem,Entire home_apt,100,0
Brooklyn,East New York,Private room,75,88
Manhattan,Hell's Kitchen,Entire home_apt,249,137
Brooklyn,Williamsburg,Entire home_apt,345,243
Manhattan,Greenwich Village,Private room,130,145
Manhattan,East Harlem,Private room,90,9
Manhattan,Hell's Kitchen,Private room,160,88
Manhattan,Inwood,Private room,85,317
Brooklyn,Park Slope,Entire home_apt,125,0
Queens,Ridgewood,Private room,30,0
Brooklyn,Bushwick,Entire home_apt,200,0
Queens,Flushing,Private room,200,365
Brooklyn,Brooklyn Heights,Private room,90,108
Manhattan,Gramercy,Entire home_apt,148,0
Brooklyn,Sunset Park,Entire home_apt,99,137
Brooklyn,Williamsburg,Entire home_apt,148,272
Manhattan,Upper West Side,Private room,89,0
Brooklyn,Williamsburg,Entire home_apt,585,229
Queens,Woodside,Entire home_apt,120,287
Brooklyn,Bushwick,Private room,36,0
Queens,Elmhurst,Private room,100,165
Brooklyn,Bedford-Stuyvesant,Private room,60,89
Manhattan,East Harlem,Entire home_apt,200,0
Brooklyn,Williamsburg,Private room,200,42
Bronx,Concourse Village,Private room,80,88
Brooklyn,Williamsburg,Private room,90,0
Queens,Flushing,Private room,80,122
Queens,Richmond Hill,Private room,83,42
Brooklyn,Flatbush,Entire home_apt,71,0
Manhattan,East Village,Entire home_apt,140,0
Brooklyn,Brooklyn Heights,Entire home_apt,180,0
Brooklyn,Williamsburg,Entire home_apt,120,0
Brooklyn,Williamsburg,Private room,65,53
Brooklyn,Bedford-Stuyvesant,Entire home_apt,69,5
Manhattan,SoHo,Entire home_apt,170,6
Brooklyn,Williamsburg,Private room,70,0
Brooklyn,Greenpoint,Private room,150,0
Queens,Queens Village,Entire home_apt,67,134
Queens,Jamaica,Entire home_apt,96,307
Manhattan,Gramercy,Private room,57,242
Manhattan,Greenwich Village,Entire home_apt,395,0
Bronx,Belmont,Private room,29,360
Manhattan,Upper West Side,Entire home_apt,350,166
Brooklyn,Bedford-Stuyvesant,Entire home_apt,120,22
Brooklyn,Prospect-Lefferts Gardens,Private room,100,358
Brooklyn,Bedford-Stuyvesant,Entire home_apt,190,24
Brooklyn,Boerum Hill,Entire home_apt,200,3
Brooklyn,Prospect-Lefferts Gardens,Private room,70,358
Bronx,Soundview,Private room,49,184
Brooklyn,Prospect-Lefferts Gardens,Private room,70,60
Brooklyn,Bedford-Stuyvesant,Private room,70,49
Manhattan,East Harlem,Entire home_apt,237,89
Brooklyn,Williamsburg,Private room,129,84
Manhattan,Upper West Side,Private room,72,0
Manhattan,Hell's Kitchen,Private room,90,0
Brooklyn,Boerum Hill,Entire home_apt,800,246
Brooklyn,South Slope,Entire home_apt,130,5
Brooklyn,Bedford-Stuyvesant,Entire home_apt,160,171
Manhattan,Murray Hill,Entire home_apt,175,365
Staten Island,New Springville,Entire home_apt,58,0
Manhattan,Upper East Side,Entire home_apt,115,0
Manhattan,Murray Hill,Entire home_apt,300,294
Manhattan,Murray Hill,Private room,577,293
Manhattan,Greenwich Village,Private room,104,0
Manhattan,Gramercy,Shared room,49,0
Queens,Queens Village,Private room,35,38
Brooklyn,Gowanus,Private room,85,0
Manhattan,Hell's Kitchen,Private room,91,181
Brooklyn,Crown Heights,Private room,80,0
Manhattan,Hell's Kitchen,Entire home_apt,200,181
Brooklyn,Crown Heights,Private room,80,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,175,0
Queens,Long Island City,Shared room,45,88
Manhattan,Financial District,Private room,96,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,180,339
Brooklyn,Bedford-Stuyvesant,Entire home_apt,100,0
Brooklyn,Crown Heights,Entire home_apt,129,144
Queens,Astoria,Private room,60,19
Manhattan,Upper West Side,Entire home_apt,135,0
Manhattan,Chinatown,Private room,95,27
Queens,Rosedale,Private room,125,0
Queens,Jamaica,Private room,48,255
Queens,Astoria,Entire home_apt,250,180
Manhattan,Harlem,Private room,300,0
Brooklyn,Bedford-Stuyvesant,Private room,44,0
Brooklyn,Bushwick,Private room,75,0
Brooklyn,Sunset Park,Entire home_apt,88,0
Brooklyn,Gowanus,Entire home_apt,125,99
Manhattan,Nolita,Entire home_apt,300,0
Queens,Middle Village,Entire home_apt,250,364
Brooklyn,Bedford-Stuyvesant,Private room,44,7
Manhattan,Harlem,Private room,174,244
Manhattan,Upper East Side,Entire home_apt,199,17
Brooklyn,Williamsburg,Private room,128,144
Manhattan,Harlem,Private room,30,0
Brooklyn,Williamsburg,Entire home_apt,150,0
Queens,Woodside,Private room,65,7
Manhattan,Washington Heights,Private room,50,0
Bronx,University Heights,Entire home_apt,175,89
Manhattan,East Village,Private room,86,0
Manhattan,Little Italy,Private room,325,0
Manhattan,Upper East Side,Entire home_apt,95,0
Manhattan,Harlem,Private room,50,0
Manhattan,Lower East Side,Entire home_apt,250,0
Brooklyn,Park Slope,Entire home_apt,165,73
Manhattan,Upper West Side,Entire home_apt,150,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,90,158
Manhattan,Upper West Side,Private room,156,68
Queens,Long Island City,Entire home_apt,110,0
Brooklyn,Williamsburg,Private room,70,0
Brooklyn,Bushwick,Entire home_apt,154,341
Manhattan,Harlem,Private room,85,0
Brooklyn,Bushwick,Entire home_apt,299,0
Bronx,Clason Point,Private room,40,365
Manhattan,Harlem,Private room,85,0
Manhattan,East Harlem,Entire home_apt,127,0
Bronx,Kingsbridge,Private room,80,0
Manhattan,East Village,Entire home_apt,195,0
Manhattan,Harlem,Shared room,25,7
Queens,Ridgewood,Private room,35,0
Manhattan,NoHo,Entire home_apt,250,0
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,120,0
Manhattan,Upper East Side,Entire home_apt,139,14
Brooklyn,Williamsburg,Private room,100,0
Queens,Elmhurst,Entire home_apt,90,0
Manhattan,Upper West Side,Private room,150,365
Manhattan,Chelsea,Private room,82,309
Bronx,Mott Haven,Entire home_apt,125,6
Manhattan,Midtown,Entire home_apt,350,0
Manhattan,Hell's Kitchen,Private room,40,65
Brooklyn,Bushwick,Private room,80,207
Brooklyn,Bedford-Stuyvesant,Private room,40,0
Queens,Long Island City,Entire home_apt,85,0
Manhattan,Hell's Kitchen,Entire home_apt,185,172
Manhattan,East Village,Entire home_apt,215,234
Queens,Jackson Heights,Private room,45,0
Brooklyn,Crown Heights,Entire home_apt,150,135
Queens,Astoria,Private room,65,319
Manhattan,East Village,Entire home_apt,190,41
Manhattan,East Harlem,Private room,60,55
Manhattan,Lower East Side,Entire home_apt,175,2
Brooklyn,Crown Heights,Shared room,60,0
Manhattan,East Village,Entire home_apt,250,0
Manhattan,Hell's Kitchen,Entire home_apt,288,300
Brooklyn,Clinton Hill,Entire home_apt,100,65
Manhattan,Chelsea,Private room,95,0
Brooklyn,Bedford-Stuyvesant,Private room,50,0
Manhattan,East Village,Private room,200,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,110,130
Manhattan,Upper West Side,Shared room,60,77
Manhattan,Hell's Kitchen,Private room,143,365
Brooklyn,Flatbush,Entire home_apt,97,0
Manhattan,Midtown,Entire home_apt,350,178
Manhattan,Harlem,Entire home_apt,150,69
Manhattan,Upper East Side,Entire home_apt,589,4
Manhattan,Murray Hill,Entire home_apt,138,188
Manhattan,Harlem,Entire home_apt,200,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,50,70
Brooklyn,Bedford-Stuyvesant,Private room,65,70
Manhattan,Harlem,Entire home_apt,245,135
Brooklyn,Crown Heights,Entire home_apt,100,0
Brooklyn,Williamsburg,Private room,60,13
Brooklyn,Bushwick,Entire home_apt,89,11
Manhattan,Washington Heights,Private room,51,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,150,0
Brooklyn,Crown Heights,Entire home_apt,110,0
Manhattan,Hell's Kitchen,Entire home_apt,230,0
Manhattan,Hell's Kitchen,Private room,119,159
Brooklyn,Bedford-Stuyvesant,Private room,44,0
Brooklyn,Bushwick,Private room,80,12
Manhattan,Upper East Side,Entire home_apt,233,154
Manhattan,Harlem,Entire home_apt,150,0
Brooklyn,Williamsburg,Entire home_apt,115,0
Brooklyn,Flatbush,Private room,60,0
Manhattan,Upper East Side,Private room,150,0
Brooklyn,Williamsburg,Private room,70,0
Manhattan,Upper East Side,Private room,75,62
Brooklyn,Crown Heights,Entire home_apt,109,1
Brooklyn,Flatbush,Private room,65,66
Manhattan,Harlem,Entire home_apt,210,88
Manhattan,Midtown,Private room,145,0
Brooklyn,Bedford-Stuyvesant,Private room,40,8
Manhattan,East Harlem,Entire home_apt,180,41
Queens,East Elmhurst,Private room,40,0
Manhattan,Washington Heights,Shared room,75,0
Queens,Jamaica,Private room,40,229
Manhattan,Chelsea,Entire home_apt,128,0
Manhattan,Harlem,Private room,36,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,85,6
Manhattan,Harlem,Entire home_apt,173,92
Brooklyn,Greenpoint,Entire home_apt,150,41
Brooklyn,Clinton Hill,Entire home_apt,200,0
Queens,Queens Village,Entire home_apt,98,356
Brooklyn,Red Hook,Private room,69,86
Brooklyn,Bedford-Stuyvesant,Entire home_apt,142,0
Manhattan,Harlem,Entire home_apt,180,0
Brooklyn,Williamsburg,Entire home_apt,150,13
Manhattan,East Harlem,Private room,100,40
Brooklyn,Gowanus,Entire home_apt,125,0
Brooklyn,Williamsburg,Entire home_apt,175,0
Brooklyn,Williamsburg,Private room,66,0
Manhattan,Hell's Kitchen,Private room,150,88
Manhattan,Harlem,Private room,79,26
Brooklyn,Williamsburg,Private room,66,0
Brooklyn,Bushwick,Private room,85,58
Manhattan,Morningside Heights,Entire home_apt,125,25
Brooklyn,Bushwick,Private room,89,0
Brooklyn,Park Slope,Entire home_apt,105,0
Brooklyn,Williamsburg,Private room,120,0
Manhattan,Greenwich Village,Shared room,56,0
Manhattan,Upper West Side,Private room,129,365
Manhattan,Chelsea,Entire home_apt,180,20
Brooklyn,Williamsburg,Shared room,35,0
Manhattan,Midtown,Private room,130,0
Brooklyn,Bushwick,Private room,35,29
Brooklyn,Bushwick,Private room,25,3
Manhattan,Upper East Side,Entire home_apt,150,0
Brooklyn,Greenpoint,Entire home_apt,120,0
Brooklyn,Williamsburg,Private room,60,0
Queens,Springfield Gardens,Private room,90,84
Brooklyn,Williamsburg,Entire home_apt,109,0
Manhattan,Kips Bay,Private room,70,3
Manhattan,East Village,Entire home_apt,145,7
Manhattan,Tribeca,Private room,200,0
Manhattan,Lower East Side,Entire home_apt,225,0
Manhattan,Upper West Side,Entire home_apt,200,0
Queens,Douglaston,Private room,40,252
Brooklyn,Bushwick,Private room,75,365
Manhattan,Chelsea,Private room,85,292
Brooklyn,DUMBO,Entire home_apt,145,0
Manhattan,Harlem,Entire home_apt,150,2
Brooklyn,Crown Heights,Entire home_apt,100,0
Queens,Long Island City,Entire home_apt,100,0
Brooklyn,Bushwick,Private room,42,0
Manhattan,Upper East Side,Entire home_apt,299,0
Brooklyn,Bedford-Stuyvesant,Private room,50,12
Manhattan,Upper East Side,Entire home_apt,200,364
Manhattan,Harlem,Entire home_apt,105,195
Brooklyn,Bushwick,Private room,60,141
Manhattan,Harlem,Entire home_apt,175,1
Bronx,Concourse,Entire home_apt,114,283
Brooklyn,Brownsville,Entire home_apt,62,0
Manhattan,Midtown,Entire home_apt,160,327
Brooklyn,Williamsburg,Private room,184,0
Manhattan,Hell's Kitchen,Shared room,299,188
Manhattan,East Village,Private room,103,0
Manhattan,Upper East Side,Entire home_apt,225,0
Manhattan,Upper East Side,Entire home_apt,750,0
Manhattan,Harlem,Entire home_apt,249,0
Brooklyn,East New York,Entire home_apt,75,151
Manhattan,Murray Hill,Entire home_apt,175,0
Brooklyn,Williamsburg,Private room,58,88
Manhattan,Lower East Side,Entire home_apt,250,0
Manhattan,Chinatown,Entire home_apt,110,0
Brooklyn,Greenpoint,Entire home_apt,150,0
Brooklyn,Bedford-Stuyvesant,Private room,60,0
Brooklyn,Canarsie,Entire home_apt,65,305
Bronx,Melrose,Private room,60,90
Brooklyn,Prospect-Lefferts Gardens,Private room,80,0
Brooklyn,Bedford-Stuyvesant,Private room,25,34
Brooklyn,Bedford-Stuyvesant,Entire home_apt,150,0
Manhattan,Upper West Side,Entire home_apt,170,0
Queens,Forest Hills,Entire home_apt,70,225
Brooklyn,Canarsie,Private room,65,37
Staten Island,Randall Manor,Private room,55,355
Manhattan,Nolita,Entire home_apt,550,295
Manhattan,Financial District,Entire home_apt,215,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,90,253
Queens,Laurelton,Entire home_apt,110,170
Brooklyn,Bay Ridge,Private room,30,0
Manhattan,Harlem,Entire home_apt,95,41
Brooklyn,Prospect-Lefferts Gardens,Private room,35,52
Queens,Forest Hills,Private room,70,93
Manhattan,Hell's Kitchen,Private room,150,24
Brooklyn,Williamsburg,Entire home_apt,80,12
Manhattan,Kips Bay,Entire home_apt,160,0
Brooklyn,Carroll Gardens,Entire home_apt,90,0
Brooklyn,Brooklyn Heights,Entire home_apt,196,96
Brooklyn,Bedford-Stuyvesant,Private room,62,0
Brooklyn,Cypress Hills,Private room,36,326
Manhattan,Financial District,Private room,143,0
Manhattan,Hell's Kitchen,Entire home_apt,120,0
Brooklyn,Park Slope,Entire home_apt,129,12
Brooklyn,Bushwick,Private room,32,0
Queens,Ridgewood,Private room,48,231
Manhattan,Murray Hill,Entire home_apt,150,26
Manhattan,SoHo,Entire home_apt,250,0
Manhattan,Lower East Side,Private room,70,0
Brooklyn,Clinton Hill,Private room,100,89
Queens,Ridgewood,Private room,40,0
Manhattan,Chinatown,Entire home_apt,110,15
Manhattan,Upper East Side,Entire home_apt,200,158
Manhattan,Chelsea,Entire home_apt,250,253
Brooklyn,Williamsburg,Private room,60,0
Brooklyn,Crown Heights,Private room,60,0
Staten Island,St. George,Entire home_apt,125,319
Queens,Ditmars Steinway,Entire home_apt,85,46
Brooklyn,Williamsburg,Entire home_apt,140,0
Manhattan,Harlem,Private room,67,160
Bronx,Morrisania,Entire home_apt,50,0
Manhattan,Midtown,Private room,300,0
Brooklyn,Williamsburg,Private room,75,307
Queens,Ridgewood,Entire home_apt,140,230
Brooklyn,Williamsburg,Entire home_apt,165,10
Manhattan,West Village,Private room,100,0
Brooklyn,Williamsburg,Entire home_apt,100,332
Queens,Long Island City,Private room,55,285
Brooklyn,Williamsburg,Entire home_apt,100,323
Queens,Astoria,Entire home_apt,108,0
Brooklyn,Bushwick,Shared room,42,365
Brooklyn,Flatbush,Private room,39,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,100,189
Brooklyn,Bushwick,Entire home_apt,95,34
Manhattan,Gramercy,Entire home_apt,140,29
Brooklyn,Greenpoint,Entire home_apt,110,0
Queens,Long Island City,Entire home_apt,300,221
Brooklyn,East New York,Entire home_apt,70,64
Queens,Flushing,Private room,85,171
Brooklyn,Flatbush,Entire home_apt,55,5
Manhattan,Theater District,Private room,949,8
Brooklyn,Williamsburg,Private room,120,0
Brooklyn,Greenpoint,Shared room,45,0
Queens,Long Island City,Entire home_apt,125,83
Manhattan,SoHo,Private room,80,0
Manhattan,Midtown,Entire home_apt,300,0
Manhattan,Washington Heights,Entire home_apt,99,0
Queens,Long Island City,Private room,71,360
Brooklyn,Bergen Beach,Entire home_apt,95,4
Queens,Astoria,Entire home_apt,123,126
Brooklyn,Bedford-Stuyvesant,Entire home_apt,80,248
Queens,Jackson Heights,Entire home_apt,95,168
Bronx,Longwood,Entire home_apt,110,0
Queens,Long Island City,Entire home_apt,90,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,100,0
Manhattan,Washington Heights,Private room,75,56
Brooklyn,Crown Heights,Private room,150,66
Manhattan,East Village,Entire home_apt,400,119
